Nrun,Variant,Input,Score,Nregions,EvaluatedRegions,EvaluatedCombinations,Totaltime,SuggestedRegions,SuggestedDuration,SuggestedBudget
2,4,2,13.0,2,15,217,64.56,Qatar and Bahrain; Iraq and Kuwait,Qatar and Bahrain; Iraq and Kuwait-1.0; 2.0,Qatar and Bahrain; Iraq and Kuwait-525.0; 420.0
2,4,2,13.0,2,15,217,64.56,Qatar and Bahrain; Iraq and Kuwait,Qatar and Bahrain; Iraq and Kuwait-1.0; 2.0,Qatar and Bahrain; Iraq and Kuwait-525.0; 420.0
2,4,2,13.0,2,15,217,64.56,Qatar and Bahrain; Iraq and Kuwait,Qatar and Bahrain; Iraq and Kuwait-1.0; 2.0,Qatar and Bahrain; Iraq and Kuwait-525.0; 420.0
2,4,2,7.0,1,15,217,64.56,Lesser Antilles,Lesser Antilles-1.0,Lesser Antilles-575.0
3,4,2,7.0,1,15,243,69.34,Qatar and Bahrain,Qatar and Bahrain-1.0,Qatar and Bahrain-525.0
3,4,2,13.0,2,15,243,69.34,Qatar and Bahrain; Iraq and Kuwait,Qatar and Bahrain; Iraq and Kuwait-1.0; 2.0,Qatar and Bahrain; Iraq and Kuwait-525.0; 420.0
3,4,2,13.0,2,15,243,69.34,Saudi-Arabia; Iraq and Kuwait,Saudi-Arabia; Iraq and Kuwait-2.0; 2.0,Saudi-Arabia; Iraq and Kuwait-560.0; 420.0
3,4,2,13.0,2,15,243,69.34,Saudi-Arabia; Iraq and Kuwait,Saudi-Arabia; Iraq and Kuwait-2.0; 2.0,Saudi-Arabia; Iraq and Kuwait-560.0; 420.0
4,4,2,13.0,2,15,214,75.4,Iraq and Kuwait; Saudi-Arabia,Iraq and Kuwait; Saudi-Arabia-2.0; 2.0,Iraq and Kuwait; Saudi-Arabia-420.0; 560.0
4,4,2,13.0,2,15,214,75.4,Saudi-Arabia; Iraq and Kuwait,Saudi-Arabia; Iraq and Kuwait-2.0; 2.0,Saudi-Arabia; Iraq and Kuwait-560.0; 420.0
4,4,2,13.0,2,15,214,75.4,Saudi-Arabia; Iraq and Kuwait,Saudi-Arabia; Iraq and Kuwait-2.0; 2.0,Saudi-Arabia; Iraq and Kuwait-560.0; 420.0
4,4,2,13.0,2,15,214,75.4,Iraq and Kuwait; Saudi-Arabia,Iraq and Kuwait; Saudi-Arabia-2.0; 2.0,Iraq and Kuwait; Saudi-Arabia-420.0; 560.0
4,4,2,13.0,2,15,214,75.4,Saudi-Arabia; Iraq and Kuwait,Saudi-Arabia; Iraq and Kuwait-2.0; 2.0,Saudi-Arabia; Iraq and Kuwait-560.0; 420.0
0,4,3,10.0,1,5,69,67.91,Greenland,Greenland-1.0,Greenland-975.0
0,4,3,10.0,1,5,69,67.91,Greenland,Greenland-1.0,Greenland-975.0
0,4,3,10.0,1,5,69,67.91,Greenland,Greenland-1.0,Greenland-975.0
0,4,3,10.0,1,5,69,67.91,Greenland,Greenland-1.0,Greenland-975.0
1,4,3,10.0,1,5,84,72.33,Greenland,Greenland-1.0,Greenland-975.0
1,4,3,10.0,1,5,84,72.33,Greenland,Greenland-1.0,Greenland-975.0
1,4,3,10.0,1,5,84,72.33,Greenland,Greenland-1.0,Greenland-975.0
1,4,3,10.0,1,5,84,72.33,Greenland,Greenland-1.0,Greenland-975.0
2,4,3,10.0,1,5,86,69.92,Greenland,Greenland-1.0,Greenland-975.0
2,4,3,10.0,1,5,86,69.92,Greenland,Greenland-1.0,Greenland-975.0
2,4,3,10.0,1,5,86,69.92,Greenland,Greenland-1.0,Greenland-975.0
3,4,3,10.0,1,5,72,73.58,Greenland,Greenland-1.0,Greenland-975.0
3,4,3,10.0,1,5,72,73.58,Greenland,Greenland-1.0,Greenland-975.0
3,4,3,10.0,1,5,72,73.58,Greenland,Greenland-1.0,Greenland-975.0
3,4,3,10.0,1,5,72,73.58,Greenland,Greenland-1.0,Greenland-975.0
