Nrun,Variant,Input,Score,Nregions,EvaluatedRegions,EvaluatedCombinations,Totaltime,SuggestedRegions,SuggestedDuration,SuggestedBudget
0,3,2,36.0,4,33,163,85.0,Central Europe; Eastern Europe; Southern Europe; North Europe,Central Europe; Eastern Europe; Southern Europe; North Europe-1.0; 1.0; 1.0; 1.0,Central Europe; Eastern Europe; Southern Europe; North Europe-0.0; 350.0; 350.0; 0.0
1,3,2,20.0,2,38,203,96.7,Lebanon and Syria; United Arab Emirates,Lebanon and Syria; United Arab Emirates-1.0; 1.0,Lebanon and Syria; United Arab Emirates-350.0; 525.0
1,3,2,27.0,3,38,203,96.7,East Asia; Near and Middle East; Central Asia,East Asia; Near and Middle East; Central Asia-1.0; 1.0; 1.0,East Asia; Near and Middle East; Central Asia-450.0; 0.0; 350.0
1,3,2,27.0,3,38,203,96.7,British Islands; North Europe; Southern Europe,British Islands; North Europe; Southern Europe-1.0; 1.0; 1.0,British Islands; North Europe; Southern Europe-420.0; 0.0; 350.0
1,3,2,10.0,1,38,203,96.7,Slovenia and Croatia,Slovenia and Croatia-1.0,Slovenia and Croatia-350.0
1,3,2,20.0,2,38,203,96.7,Mozambique and Zimbabwe; Madagascar,Mozambique and Zimbabwe; Madagascar-1.0; 2.0,Mozambique and Zimbabwe; Madagascar-350.0; 350.0
2,3,2,19.0,2,37,223,96.74,Australia; Australia Northeast,Australia; Australia Northeast-1.0; 1.0,Australia; Australia Northeast-560.0; 0.0
2,3,2,27.0,3,37,223,96.74,East Asia; Russland and Caucasus; Central Asia,East Asia; Russland and Caucasus; Central Asia-1.0; 1.0; 1.0,East Asia; Russland and Caucasus; Central Asia-450.0; 0.0; 350.0
2,3,2,18.0,2,37,223,96.74,Mongolia; China,Mongolia; China-2.0; 1.0,Mongolia; China-350.0; 0.0
2,3,2,10.0,1,37,223,96.74,China Northwest (Shaanxi to Xinjiang),China Northwest (Shaanxi to Xinjiang)-1.0,China Northwest (Shaanxi to Xinjiang)-500.0
2,3,2,19.0,2,37,223,96.74,Indonesia; Philippines,Indonesia; Philippines-2.0; 2.0,Indonesia; Philippines-400.0; 375.0
2,3,2,19.0,2,37,223,96.74,USA; USA Hawaii,USA; USA Hawaii-1.0; 1.0,USA; USA Hawaii-600.0; 0.0
3,3,2,20.0,2,34,171,77.4,Slovenia and Croatia; Germany,Slovenia and Croatia; Germany-1.0; 1.0,Slovenia and Croatia; Germany-350.0; 420.0
3,3,2,27.0,3,34,171,77.4,East Asia; Near and Middle East; Russland and Caucasus,East Asia; Near and Middle East; Russland and Caucasus-1.0; 1.0; 1.0,East Asia; Near and Middle East; Russland and Caucasus-450.0; 0.0; 0.0
3,3,2,27.0,3,34,171,77.4,East Asia; Near and Middle East; Russland and Caucasus,East Asia; Near and Middle East; Russland and Caucasus-1.0; 1.0; 1.0,East Asia; Near and Middle East; Russland and Caucasus-450.0; 0.0; 0.0
3,3,2,10.0,1,34,171,77.4,Sweden and Denmark,Sweden and Denmark-1.0,Sweden and Denmark-525.0
3,3,2,10.0,1,34,171,77.4,Honduras and El Salvador,Honduras and El Salvador-1.0,Honduras and El Salvador-250.0
4,3,2,19.0,2,30,213,93.38,Mexico; Northern Mexico,Mexico; Northern Mexico-1.0; 1.0,Mexico; Northern Mexico-375.0; 0.0
4,3,2,20.0,2,30,213,93.38,Benelux; Slovenia and Croatia,Benelux; Slovenia and Croatia-1.0; 1.0,Benelux; Slovenia and Croatia-420.0; 350.0
4,3,2,27.0,3,30,213,93.38,Southeast Asia; Russland and Caucasus; Central Asia,Southeast Asia; Russland and Caucasus; Central Asia-1.0; 1.0; 1.0,Southeast Asia; Russland and Caucasus; Central Asia-0.0; 0.0; 350.0
4,3,2,20.0,2,30,213,93.38,Lebanon and Syria; Oman and Yemen,Lebanon and Syria; Oman and Yemen-1.0; 1.0,Lebanon and Syria; Oman and Yemen-350.0; 490.0
4,3,2,18.0,2,30,213,93.38,Central Europe; British Islands,Central Europe; British Islands-1.0; 1.0,Central Europe; British Islands-0.0; 420.0
4,3,2,20.0,2,30,213,93.38,Lebanon and Syria; United Arab Emirates,Lebanon and Syria; United Arab Emirates-1.0; 1.0,Lebanon and Syria; United Arab Emirates-350.0; 525.0
0,3,3,34.0,2,35,127,173.48,Namibia; South Africa,Namibia; South Africa-1.0; 1.0,Namibia; South Africa-385.0; 385.0
0,3,3,33.0,2,35,127,173.48,Bolivia; Brazil,Bolivia; Brazil-1.0; 1.0,Bolivia; Brazil-310.0; 625.0
0,3,3,34.0,2,35,127,173.48,Zambia and Malawi; Namibia,Zambia and Malawi; Namibia-1.0; 1.0,Zambia and Malawi; Namibia-450.0; 385.0
0,3,3,34.0,2,35,127,173.48,Namibia; South Africa,Namibia; South Africa-1.0; 1.0,Namibia; South Africa-385.0; 385.0
0,3,3,34.0,2,35,127,173.48,Zambia and Malawi; South Africa,Zambia and Malawi; South Africa-1.0; 1.0,Zambia and Malawi; South Africa-450.0; 385.0
0,3,3,34.0,2,35,127,173.48,Zambia and Malawi; Namibia,Zambia and Malawi; Namibia-1.0; 1.0,Zambia and Malawi; Namibia-450.0; 385.0
1,3,3,34.0,2,40,218,183.69,Namibia; South Africa,Namibia; South Africa-1.0; 1.0,Namibia; South Africa-385.0; 385.0
1,3,3,34.0,2,40,218,183.69,Namibia; South Africa,Namibia; South Africa-1.0; 1.0,Namibia; South Africa-385.0; 385.0
1,3,3,34.0,2,40,218,183.69,Mozambique and Zimbabwe; South Africa,Mozambique and Zimbabwe; South Africa-1.0; 1.0,Mozambique and Zimbabwe; South Africa-350.0; 385.0
1,3,3,45.0,3,40,218,183.69,East Asia; Central Asia; South Asia,East Asia; Central Asia; South Asia-1.0; 1.0; 1.0,East Asia; Central Asia; South Asia-450.0; 350.0; 0.0
1,3,3,48.0,3,40,218,183.69,Southern Europe; Eastern Europe; North Europe,Southern Europe; Eastern Europe; North Europe-1.0; 1.0; 1.0,Southern Europe; Eastern Europe; North Europe-350.0; 350.0; 0.0
1,3,3,34.0,2,40,218,183.69,Mozambique and Zimbabwe; Namibia,Mozambique and Zimbabwe; Namibia-1.0; 1.0,Mozambique and Zimbabwe; Namibia-350.0; 385.0
1,3,3,32.0,2,40,218,183.69,Brazil; Colombia,Brazil; Colombia-1.0; 2.0,Brazil; Colombia-625.0; 350.0
1,3,3,34.0,2,40,218,183.69,Mozambique and Zimbabwe; Namibia,Mozambique and Zimbabwe; Namibia-1.0; 1.0,Mozambique and Zimbabwe; Namibia-350.0; 385.0
2,3,3,49.0,3,40,228,172.52,Eastern Europe; North Europe; British Islands,Eastern Europe; North Europe; British Islands-1.0; 1.0; 1.0,Eastern Europe; North Europe; British Islands-350.0; 0.0; 420.0
2,3,3,34.0,2,40,228,172.52,Panama; Costa Rica,Panama; Costa Rica-1.0; 1.0,Panama; Costa Rica-400.0; 400.0
2,3,3,34.0,2,40,228,172.52,Mozambique and Zimbabwe; Namibia,Mozambique and Zimbabwe; Namibia-1.0; 1.0,Mozambique and Zimbabwe; Namibia-350.0; 385.0
2,3,3,61.0,4,40,228,172.52,East Asia; Near and Middle East; Central Asia; Southeast Asia,East Asia; Near and Middle East; Central Asia; Southeast Asia-1.0; 1.0; 1.0; 1.0,East Asia; Near and Middle East; Central Asia; Southeast Asia-450.0; 0.0; 350.0; 0.0
2,3,3,34.0,2,40,228,172.52,Zambia and Malawi; Namibia,Zambia and Malawi; Namibia-1.0; 1.0,Zambia and Malawi; Namibia-450.0; 385.0
2,3,3,46.0,3,40,228,172.52,East Asia; Near and Middle East; Southeast Asia,East Asia; Near and Middle East; Southeast Asia-1.0; 1.0; 1.0,East Asia; Near and Middle East; Southeast Asia-450.0; 0.0; 0.0
