Nrun,Variant,Input,Score,Nregions,EvaluatedRegions,EvaluatedCombinations,Totaltime,SuggestedRegions,SuggestedDuration,SuggestedBudget
9,2,1,37.0,3,42,255,147.84,South Asia; Near and Middle East; East Asia,South Asia; Near and Middle East; East Asia-1.0; 1.0; 1.0,South Asia; Near and Middle East; East Asia-0.0; 0.0; 450.0
9,2,1,-9.0,1,42,255,147.84,Southern Europe,Southern Europe-1.0,Southern Europe-350.0
0,2,2,-14.0,1,67,289,156.91,Paraguay,Paraguay-1.0,Paraguay-400.0
0,2,2,2.0,2,67,289,156.91,Eastern Europe; Southern Europe,Eastern Europe; Southern Europe-1.0; 1.0,Eastern Europe; Southern Europe-350.0; 350.0
0,2,2,2.0,2,67,289,156.91,East Asia; Near and Middle East,East Asia; Near and Middle East-1.0; 1.0,East Asia; Near and Middle East-450.0; 0.0
1,2,2,-14.0,1,68,270,162.33,Madagascar,Madagascar-2.0,Madagascar-350.0
1,2,2,4.0,2,68,270,162.33,Benelux; Slovenia and Croatia,Benelux; Slovenia and Croatia-1.0; 1.0,Benelux; Slovenia and Croatia-420.0; 350.0
1,2,2,-15.0,1,68,270,162.33,Australia,Australia-1.0,Australia-560.0
2,2,2,3.0,2,65,298,154.49,Paraguay; Argentina,Paraguay; Argentina-1.0; 1.0,Paraguay; Argentina-400.0; 400.0
2,2,2,2.0,2,65,298,154.49,Southern Europe; North Europe,Southern Europe; North Europe-1.0; 1.0,Southern Europe; North Europe-350.0; 0.0
2,2,2,-14.0,1,65,298,154.49,Slovenia and Croatia,Slovenia and Croatia-1.0,Slovenia and Croatia-350.0
3,2,2,19.0,3,69,297,159.3,Eastern Europe; British Islands; North Europe,Eastern Europe; British Islands; North Europe-1.0; 1.0; 1.0,Eastern Europe; British Islands; North Europe-350.0; 420.0; 0.0
3,2,2,-14.0,1,69,297,159.3,Tunisia,Tunisia-1.0,Tunisia-375.0
4,2,2,4.0,2,68,252,148.59,Paraguay; Uruguay,Paraguay; Uruguay-1.0; 1.0,Paraguay; Uruguay-400.0; 400.0
4,2,2,4.0,2,68,252,148.59,Paraguay; Uruguay,Paraguay; Uruguay-1.0; 1.0,Paraguay; Uruguay-400.0; 400.0
4,2,2,-14.0,1,68,252,148.59,Honduras and El Salvador,Honduras and El Salvador-1.0,Honduras and El Salvador-250.0
5,2,2,-14.0,1,64,205,169.36,Tunisia,Tunisia-1.0,Tunisia-375.0
5,2,2,19.0,3,64,205,169.36,Central Europe; Eastern Europe; British Islands,Central Europe; Eastern Europe; British Islands-1.0; 1.0; 1.0,Central Europe; Eastern Europe; British Islands-0.0; 350.0; 420.0
6,2,2,2.0,2,69,348,162.09,Southeast Asia; Central Asia,Southeast Asia; Central Asia-1.0; 1.0,Southeast Asia; Central Asia-0.0; 350.0
6,2,2,3.0,2,69,348,162.09,Indonesia; Bali and Lombok,Indonesia; Bali and Lombok-2.0; 1.0,Indonesia; Bali and Lombok-400.0; 0.0
8,2,2,3.0,2,67,279,160.02,Indonesia; Bali and Lombok,Indonesia; Bali and Lombok-2.0; 1.0,Indonesia; Bali and Lombok-400.0; 0.0
8,2,2,2.0,2,67,279,160.02,Mongolia; China,Mongolia; China-2.0; 1.0,Mongolia; China-350.0; 0.0
8,2,2,-14.0,1,67,279,160.02,Greater Antilles without Cuba,Greater Antilles without Cuba-1.0,Greater Antilles without Cuba-575.0
9,2,2,2.0,2,65,287,155.79,East Asia; Southeast Asia,East Asia; Southeast Asia-1.0; 1.0,East Asia; Southeast Asia-450.0; 0.0
9,2,2,-14.0,1,65,287,155.79,Madagascar,Madagascar-2.0,Madagascar-350.0
9,2,2,-14.0,1,65,287,155.79,Madagascar,Madagascar-2.0,Madagascar-350.0
0,2,3,16.0,2,81,237,154.81,Uruguay; Venezuela,Uruguay; Venezuela-1.0; 1.0,Uruguay; Venezuela-400.0; 390.0
0,2,3,17.0,2,81,237,154.81,Bolivia; Uruguay,Bolivia; Uruguay-1.0; 1.0,Bolivia; Uruguay-310.0; 400.0
0,2,3,17.0,2,81,237,154.81,Bolivia; Venezuela,Bolivia; Venezuela-1.0; 1.0,Bolivia; Venezuela-310.0; 390.0
0,2,3,-9.0,1,81,237,154.81,East Africa,East Africa-2.0,East Africa-350.0
1,2,3,-7.0,1,84,240,129.64,Israel,Israel-1.0,Israel-420.0
1,2,3,-7.0,1,84,240,129.64,Algeria,Algeria-1.0,Algeria-450.0
